rank,token,count,relative_frequency
1770,feo,94,8.837061507828321e-05
1771,##miento,94,8.837061507828321e-05
1772,Acaso,93,8.743050215191848e-05
1773,##lidad,93,8.743050215191848e-05
1774,rastro,93,8.743050215191848e-05
1775,risas,93,8.743050215191848e-05
1776,##jas,93,8.743050215191848e-05
1777,discusión,93,8.743050215191848e-05
1778,oscuridad,92,8.649038922555377e-05
1779,vea,92,8.649038922555377e-05
1780,Camino,91,8.555027629918906e-05
1781,Apenas,91,8.555027629918906e-05
1782,hago,91,8.555027629918906e-05
1783,emoción,91,8.555027629918906e-05
1784,violín,90,8.461016337282435e-05
1785,público,90,8.461016337282435e-05
1786,femenina,90,8.461016337282435e-05
1787,razones,90,8.461016337282435e-05
1788,Sentí,90,8.461016337282435e-05
1789,renovar,89,8.367005044645964e-05
1790,huevos,89,8.367005044645964e-05
1791,sentido,88,8.272993752009491e-05
1792,ojo,88,8.272993752009491e-05
1793,cintura,88,8.272993752009491e-05
1794,espera,88,8.272993752009491e-05
1795,alta,88,8.272993752009491e-05
1796,terminar,87,8.17898245937302e-05
1797,libre,86,8.084971166736548e-05
1798,nariz,85,7.990959874100077e-05
1799,Solo,85,7.990959874100077e-05
1800,Cuanto,85,7.990959874100077e-05
1801,respirar,85,7.990959874100077e-05
1802,rico,85,7.990959874100077e-05
1803,lágrimas,85,7.990959874100077e-05
1804,Tuvo,84,7.896948581463606e-05
1805,lógica,83,7.802937288827133e-05
1806,Quizás,83,7.802937288827133e-05
1807,Explic,83,7.802937288827133e-05
1808,escrito,83,7.802937288827133e-05
1809,cuernos,83,7.802937288827133e-05
1810,monumento,83,7.802937288827133e-05
1811,triunfo,82,7.708925996190662e-05
1812,Cada,82,7.708925996190662e-05
1813,Fui,82,7.708925996190662e-05
1814,trasero,82,7.708925996190662e-05
1815,Poco,82,7.708925996190662e-05
1816,márgenes,81,7.614914703554191e-05
1817,Dos,81,7.614914703554191e-05
1818,vidas,80,7.52090341091772e-05
1819,Pasó,80,7.52090341091772e-05
1820,baño,80,7.52090341091772e-05
1821,numeros,80,7.52090341091772e-05
1822,Ta,79,7.426892118281249e-05
1823,Lu,79,7.426892118281249e-05
1824,##gon,79,7.426892118281249e-05
1825,escena,78,7.332880825644776e-05
1826,##rilla,78,7.332880825644776e-05
1827,romp,77,7.238869533008305e-05
1828,freno,77,7.238869533008305e-05
1829,pensó,77,7.238869533008305e-05
1830,interior,76,7.144858240371834e-05
1831,domingos,76,7.144858240371834e-05
1832,delante,76,7.144858240371834e-05
1833,endure,75,7.050846947735362e-05
1834,##ciendo,75,7.050846947735362e-05
1835,amarilla,75,7.050846947735362e-05
1836,cine,75,7.050846947735362e-05
1837,pre,74,6.956835655098891e-05
1838,##mon,74,6.956835655098891e-05
