rank,token,count,relative_frequency
441,época,232,0.00027984917094683106
442,altura,231,0.0002786429245203361
443,hablaba,230,0.00027743667809384116
444,reja,230,0.00027743667809384116
445,pueblo,230,0.00027743667809384116
446,mí,229,0.0002762304316673462
447,pasando,229,0.0002762304316673462
448,corriendo,229,0.0002762304316673462
449,magia,228,0.0002750241852408512
450,corazón,228,0.0002750241852408512
451,respondió,227,0.00027381793881435626
452,habrá,227,0.00027381793881435626
453,túnica,227,0.00027381793881435626
454,resto,226,0.0002726116923878613
455,estado,226,0.0002726116923878613
456,lana,225,0.0002714054459613663
457,terminaba,225,0.0002714054459613663
458,animales,225,0.0002714054459613663
459,llamó,224,0.00027019919953487137
460,camino,224,0.00027019919953487137
461,son,224,0.00027019919953487137
462,médicos,224,0.00027019919953487137
463,través,223,0.0002689929531083764
464,dejado,223,0.0002689929531083764
465,pasaban,223,0.0002689929531083764
466,pedir,223,0.0002689929531083764
467,escuela,223,0.0002689929531083764
468,salió,223,0.0002689929531083764
469,compró,222,0.00026778670668188147
470,plumas,222,0.00026778670668188147
471,cuerpos,220,0.0002653742138288915
472,larga,220,0.0002653742138288915
473,chicos,219,0.0002641679674023966
474,veía,219,0.0002641679674023966
475,último,218,0.0002629617209759016
476,vuelta,218,0.0002629617209759016
477,dedos,218,0.0002629617209759016
478,pelo,218,0.0002629617209759016
479,caliente,217,0.0002617554745494066
480,fueran,217,0.0002617554745494066
481,cambio,217,0.0002617554745494066
482,príncipe,217,0.0002617554745494066
483,sabe,217,0.0002617554745494066
484,llegara,216,0.0002605492281229117
485,leer,215,0.00025934298169641673
486,libro,215,0.00025934298169641673
487,sonrisa,215,0.00025934298169641673
488,primeros,215,0.00025934298169641673
489,abría,215,0.00025934298169641673
490,masa,215,0.00025934298169641673
491,dejaron,214,0.0002581367352699218
492,adolescente,214,0.0002581367352699218
493,primero,214,0.0002581367352699218
494,calor,213,0.0002569304888434268
495,cuchillo,213,0.0002569304888434268
496,seguro,213,0.0002569304888434268
497,estuviera,213,0.0002569304888434268
498,arcoíris,213,0.0002569304888434268
499,mal,213,0.0002569304888434268
500,chica,212,0.00025572424241693183
