cuento,archivo,n_original,n_conservados,n_eliminados,porcentaje_eliminado,min_words_original,max_words_original,mean_words_original,min_words_filtrado,max_words_filtrado,mean_words_filtrado
Una rosa para Emilia,sub-046.json,71,45,26,36.6197,1,60,12.0845,4,60,18.2222
Una rosa para Emilia,sub-048.json,55,46,9,16.3636,1,61,15.2545,5,61,17.8913
Una rosa para Emilia,sub-052.json,109,57,52,47.7064,1,61,8.8532,4,61,15.6491
Una rosa para Emilia,sub-053.json,47,41,6,12.766,1,61,16.2553,4,61,18.3659
Una rosa para Emilia,sub-054.json,47,41,6,12.766,1,61,16.2128,4,61,18.3659
Una rosa para Emilia,sub-058.json,68,50,18,26.4706,1,60,12.8235,4,60,16.92
Una rosa para Emilia,sub-060.json,65,45,20,30.7692,1,60,12.3385,4,60,17.1556
Una rosa para Emilia,sub-064.json,71,51,20,28.169,1,60,12.2676,4,60,16.4118
Una rosa para Emilia,sub-065.json,50,43,7,14.0,1,61,15.72,4,61,18
Una rosa para Emilia,sub-066.json,68,44,24,35.2941,1,60,12.5294,4,60,18.6136
Una rosa para Emilia,sub-068.json,51,45,6,11.7647,1,60,15.8039,4,60,17.6667
Una rosa para Emilia,sub-070.json,66,42,24,36.3636,1,60,11.7727,4,60,17.6905
Una rosa para Emilia,sub-073.json,45,41,4,8.8889,1,60,17.3556,4,60,18.9024
Una rosa para Emilia,sub-075.json,61,52,9,14.7541,1,61,14.541,4,61,16.7885
Una rosa para Emilia,sub-076.json,80,55,25,31.25,1,61,12.1125,4,61,17.0545
Una rosa para Emilia,sub-077.json,101,55,46,45.5446,1,58,9.297,4,58,15.9818
Una rosa para Emilia,sub-078.json,52,38,14,26.9231,1,61,14.3269,4,61,19.1579
Una rosa para Emilia,sub-079.json,57,43,14,24.5614,1,52,13.4211,4,52,17.2558
Una rosa para Emilia,sub-082.json,55,38,17,30.9091,1,61,13.4364,5,61,18.9211
Una rosa para Emilia,sub-083.json,73,49,24,32.8767,1,60,11.6301,4,60,16.4898
Una rosa para Emilia,sub-085.json,66,53,13,19.697,1,58,13.9848,4,58,17.0566
Una rosa para Emilia,sub-086.json,61,43,18,29.5082,1,60,12.377,4,60,16.907
Una rosa para Emilia,sub-087.json,66,46,20,30.303,1,60,12.5455,4,60,17.4348
Una rosa para Emilia,sub-088.json,110,55,55,50.0,1,56,7.9273,4,56,14.4364
Una rosa para Emilia,sub-089.json,57,41,16,28.0702,1,61,13,4,61,17.5854
Una rosa para Emilia,sub-094.json,70,49,21,30.0,1,54,12.1714,4,54,16.8163
Una rosa para Emilia,sub-095.json,79,46,33,41.7722,1,61,10.8608,4,61,17.6522
Una rosa para Emilia,sub-096.json,65,43,22,33.8462,1,60,11.6462,4,60,16.8605
Una rosa para Emilia,sub-097.json,54,42,12,22.2222,1,55,14.2778,4,55,17.9524
Una rosa para Emilia,sub-098.json,51,42,9,17.6471,1,61,15.7647,5,61,18.7619
Una rosa para Emilia,sub-103.json,62,42,20,32.2581,1,60,12.7419,4,60,18.2143
Una rosa para Emilia,sub-107.json,55,40,15,27.2727,1,60,13.6909,5,60,18.2
Una rosa para Emilia,sub-109.json,45,41,4,8.8889,1,60,16.5111,4,60,17.9024
Una rosa para Emilia,sub-111.json,84,54,30,35.7143,1,61,10.4524,4,61,15.4444
Una rosa para Emilia,sub-112.json,51,39,12,23.5294,1,61,14.3725,4,61,18.359
Wakefield,sub-001.json,91,58,33,36.2637,1,41,9.2857,4,41,13.7414
Wakefield,sub-002.json,185,119,66,35.6757,1,39,8.1784,4,39,12
Wakefield,sub-003.json,61,56,5,8.1967,1,41,13.3115,4,41,14.3214
Wakefield,sub-005.json,89,55,34,38.2022,1,41,8.8315,4,41,13.2727
