rank,token,count,relative_frequency
497,resto,250,0.00033233985871567926
498,salió,250,0.00033233985871567926
499,corrió,249,0.0003310104992808165
500,querían,248,0.00032968113984595384
501,muchos,248,0.00032968113984595384
502,barrio,248,0.00032968113984595384
503,rostro,248,0.00032968113984595384
504,anterior,247,0.0003283517804110911
505,pedir,247,0.0003283517804110911
506,pusieron,247,0.0003283517804110911
507,desgracia,247,0.0003283517804110911
508,distintos,246,0.0003270224209762284
509,inmenso,246,0.0003270224209762284
510,equilibrio,245,0.0003256930615413657
511,dejado,244,0.00032436370210650297
512,extraño,244,0.00032436370210650297
513,béisbol,244,0.00032436370210650297
514,reja,244,0.00032436370210650297
515,almorzar,244,0.00032436370210650297
516,ta,244,0.00032436370210650297
517,caminar,242,0.0003217049832367775
518,luego,242,0.0003217049832367775
519,fuerza,242,0.0003217049832367775
520,llevaba,242,0.0003217049832367775
521,tipo,241,0.0003203756238019148
522,pasé,239,0.00031771690493218936
523,enferma,239,0.00031771690493218936
524,puedo,238,0.0003163875454973267
525,intimidad,238,0.0003163875454973267
526,recibir,238,0.0003163875454973267
527,cambio,237,0.00031505818606246394
528,convulsiones,237,0.00031505818606246394
529,decidieron,236,0.0003137288266276012
530,supuesto,236,0.0003137288266276012
531,debajo,236,0.0003137288266276012
532,jardín,236,0.0003137288266276012
533,avanzaba,236,0.0003137288266276012
534,abría,236,0.0003137288266276012
535,va,236,0.0003137288266276012
536,acostumbrada,236,0.0003137288266276012
537,magia,235,0.00031239946719273853
538,éxito,235,0.00031239946719273853
539,visitar,235,0.00031239946719273853
540,apoyó,235,0.00031239946719273853
541,llamaba,234,0.0003110701077578758
542,detuvo,234,0.0003110701077578758
543,visitante,234,0.0003110701077578758
544,máscara,234,0.0003110701077578758
545,evidencia,233,0.00030974074832301307
546,comunes,233,0.00030974074832301307
547,enorme,233,0.00030974074832301307
548,llevó,232,0.00030841138888815033
549,sabe,232,0.00030841138888815033
550,bate,231,0.00030708202945328765
551,quedaba,231,0.00030708202945328765
552,preguntar,231,0.00030708202945328765
553,dirección,230,0.0003057526700184249
554,longitudes,230,0.0003057526700184249
555,invitados,230,0.0003057526700184249
556,través,229,0.0003044233105835622
557,fracaso,229,0.0003044233105835622
558,plumas,229,0.0003044233105835622
559,callado,229,0.0003044233105835622
560,cámara,228,0.0003030939511486995
561,altura,228,0.0003030939511486995
562,entrada,228,0.0003030939511486995
563,desesperación,227,0.0003017645917138368
564,época,227,0.0003017645917138368
565,perdió,227,0.0003017645917138368
566,gobierno,227,0.0003017645917138368
567,película,226,0.00030043523227897404
568,privacidad,226,0.00030043523227897404
569,quinta,225,0.00029910587284411136
570,llamó,224,0.00029777651340924863
571,acerca,224,0.00029777651340924863
572,estas,224,0.00029777651340924863
573,media,224,0.00029777651340924863
574,clase,224,0.00029777651340924863
575,bosquecito,224,0.00029777651340924863
576,castillo,224,0.00029777651340924863
577,dónde,223,0.0002964471539743859
578,principio,223,0.0002964471539743859
579,plata,223,0.0002964471539743859
580,hermana,223,0.0002964471539743859
581,dedos,222,0.00029511779453952316
582,estela,221,0.0002937884351046605
583,atravesaba,221,0.0002937884351046605
584,ocultarle,221,0.0002937884351046605
585,hicieron,220,0.00029245907566979775
586,veía,220,0.00029245907566979775
587,hizo,219,0.000291129716234935
588,sola,219,0.000291129716234935
589,reflejo,219,0.000291129716234935
590,catorce,219,0.000291129716234935
591,estos,218,0.00028980035680007234
592,llamado,218,0.00028980035680007234
593,pregunta,217,0.0002884709973652096
594,paso,217,0.0002884709973652096
595,ocho,217,0.0002884709973652096
596,boca,216,0.0002871416379303469
597,dijeron,216,0.0002871416379303469
598,corte,215,0.00028581227849548414
599,lloraba,215,0.00028581227849548414
600,delicada,214,0.00028448291906062146
601,playa,214,0.00028448291906062146
602,canasto,214,0.00028448291906062146
603,dar,212,0.000281824200190896
604,terrible,212,0.000281824200190896
605,teléfono,211,0.0002804948407560333
606,contenido,211,0.0002804948407560333
607,dejó,211,0.0002804948407560333
608,siguieron,211,0.0002804948407560333
609,sale,211,0.0002804948407560333
610,bastante,210,0.0002791654813211706
611,carácter,210,0.0002791654813211706
612,allá,210,0.0002791654813211706
613,difícil,210,0.0002791654813211706
614,oscura,210,0.0002791654813211706
615,paralítica,210,0.0002791654813211706
616,lana,209,0.00027783612188630785
617,bolsillóloga,209,0.00027783612188630785
618,comenzaron,209,0.00027783612188630785
619,mascota,209,0.00027783612188630785
620,impuestos,209,0.00027783612188630785
621,gracioso,208,0.00027650676245144517
622,chicos,208,0.00027650676245144517
623,pantalones,208,0.00027650676245144517
624,cuántos,207,0.00027517740301658244
625,pies,207,0.00027517740301658244
626,pasara,207,0.00027517740301658244
627,pelo,207,0.00027517740301658244
628,pozo,207,0.00027517740301658244
629,cementerio,205,0.000272518684146857
630,vuelta,205,0.000272518684146857
631,hormigas,205,0.000272518684146857
632,familiar,204,0.0002711893247119943
633,chica,203,0.00026985996527713156
634,esfuerzo,203,0.00026985996527713156
635,dormía,203,0.00026985996527713156
636,antropocéntricos,203,0.00026985996527713156
637,pidió,201,0.00026720124640740615
638,pasos,201,0.00026720124640740615
639,varios,201,0.00026720124640740615
640,noticias,201,0.00026720124640740615
641,desnudo,200,0.0002658718869725434
642,cadáver,200,0.0002658718869725434
643,reloj,200,0.0002658718869725434
644,aspecto,200,0.0002658718869725434
645,aplausos,199,0.0002645425275376807
646,horas,199,0.0002645425275376807
647,salud,199,0.0002645425275376807
648,superstición,199,0.0002645425275376807
649,vuelve,199,0.0002645425275376807
650,secreto,199,0.0002645425275376807
651,discurso,198,0.00026321316810281795
652,espada,198,0.00026321316810281795
653,decidió,198,0.00026321316810281795
654,esto,197,0.00026188380866795527
655,jugar,197,0.00026188380866795527
656,repatriación,197,0.00026188380866795527
657,silla,197,0.00026188380866795527
658,preguntás,196,0.00026055444923309254
659,dejar,196,0.00026055444923309254
660,espalda,196,0.00026055444923309254
661,quedaron,195,0.0002592250897982298
662,entendió,195,0.0002592250897982298
663,cinco,195,0.0002592250897982298
664,mantenía,195,0.0002592250897982298
665,disfraz,195,0.0002592250897982298
666,quedar,194,0.0002578957303633671
667,libro,194,0.0002578957303633671
668,tristeza,194,0.0002578957303633671
669,claro,194,0.0002578957303633671
670,hiciera,193,0.0002565663709285044
671,guardar,193,0.0002565663709285044
672,desenfundó,193,0.0002565663709285044
673,cipolletti,193,0.0002565663709285044
674,detrás,193,0.0002565663709285044
675,escarlata,193,0.0002565663709285044
676,abuela,193,0.0002565663709285044
